Date,score
2022-08-31,0.8605030179023743
2022-09-30,0.786668561398983
2022-10-31,0.8987346322912919
2022-11-30,0.8450014103542675
2022-12-31,0.867628526687622
2023-01-31,0.7269317060709
2023-02-28,0.9057671257427761
2023-03-31,0.8290871381759644
2023-04-30,0.8406198918819427
2023-05-31,0.7769756764173508
2023-06-30,0.7999522268772126
2023-07-31,0.8965470790863037
2023-08-31,0.8677913546562195
2023-09-30,0.8055482401567347
2023-10-31,0.8105856137616294
2023-11-30,0.8342867195606232
2023-12-31,0.7291786521673203
2024-01-31,0.7863906919956207
2024-02-29,0.8177139716488975
2024-03-31,0.7910597866231744
2024-04-30,0.8020037846131758
2024-05-31,0.7502814282973608
2024-06-30,0.7894543674257066
2024-07-31,0.881350804458965
2024-08-31,0.8339691440264384
2024-09-30,0.788390648992438
